Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
409285000,11500,509695,QuintaNormal,Hoevel4548y4558,7,4.0,384.0,732.0,3.0,11700213,
105000000,2950,130760,PedroAguirreCerda,Rucalhue,2,1.0,112.0,145.0,1.0,10894299,Legales y Propiedades SpA
128124000,3600,159557,EstaciónCentral,AvenidaLasParcelas,3,1.0,59.0,243.0,2.0,10257635,Propiedadesrs
75000000,2107,93400,Colina,PasajeGonzaloRojas,3,1.0,103.0,73.0,1.0,9232092,Patricio Gajardo propiedades
53000000,1489,66002,Colina,HernánDíazArrieta2820,2,1.0,57.0,67.0,1.0,7085397,Patricio Gajardo propiedades
94000000,2641,117061,EstaciónCentral,Avenida5deAbril,2,1.0,72.0,131.0,,7586371,Patricio Gajardo propiedades
75000000,2107,93400,Colina,GabrielaMistral/PabloNeruda,3,1.0,70.0,80.0,2.0,11688480,Patricio Gajardo propiedades
105000000,2950,130760,LaFlorida,SanCristóbalTres,2,1.0,50.0,120.0,1.0,12229303,Gesinprop Gestión Inmobiliaria
76000000,2135,94645,Maipú,PasajeJosédeMoraleda,3,1.0,72.0,72.0,1.0,12223374,Gesinprop Gestión Inmobiliaria
76000000,2135,94645,Maipú,Matías,3,1.0,46.0,90.0,1.0,12221068,Gesinprop Gestión Inmobiliaria
90000000,2529,112080,Maipú,LasTinajas&QuintaVergara,3,1.0,100.0,134.0,3.0,12188657,Gesinprop Gestión Inmobiliaria
75000000,2107,93400,SanBernardo,ValledelAconcagua,3,2.0,50.0,88.0,1.0,12187463,Gesinprop Gestión Inmobiliaria
153037000,4300,190582,Maipú,Merlin,3,2.0,98.0,130.0,2.0,12187364,Gesinprop Gestión Inmobiliaria
132000000,3709,164384,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1.0,69.0,200.0,2.0,8493024,Paula Vivanco Arenas
199000000,5591,247821,Santiago,Cuevas,7,3.0,162.0,185.0,,12155606,Todo Propiedades
79000000,2220,98381,PuenteAlto,PasajeLagoBertrand,2,1.0,,,2.0,12149041,Fe Propiedades Spa
373695000,10500,465374,LaFlorida,JoséMiguelCarrera,7,3.0,173.0,850.0,3.0,7850911,
480000000,13487,597758,LaFlorida,Altomacul,5,6.0,240.0,600.0,2.0,6474890,Inmobiliaria Barrio Nuevo SpA
142000000,3990,176837,Santiago,Sandaniel,3,2.0,100.0,163.0,2.0,12065162,
295397000,8300,367867,LaFlorida,CaminodelaNaturaleza,3,3.0,105.0,280.0,2.0,10765504,Ecorredores Gestion Inmobiliaria
391490000,11000,487534,LaFlorida,Cam.LasCumbres6790,5,3.0,150.0,400.0,2.0,10105612,Ecorredores Gestion Inmobiliaria
1210060000,34000,1506924,LasCondes,Laforesta,5,5.0,360.0,1150.0,4.0,10080545,
160155000,4500,199446,Lampa,AvenidaLaMontañaSur4149,3,3.0,80.0,156.0,2.0,8677005,Behouse
129903500,3650,161773,Lampa,AvenidaLaHacienda,3,2.0,68.0,221.0,1.0,7850612,Behouse
75000000,2107,93400,Quilicura,Riocachapoal,2,2.0,70.0,78.0,,11426067,Propital
50000000,1405,62267,PuenteAlto,CerroParedones,3,1.0,31.0,73.0,,11988681,Cgs Corretaje Inmobiliario Spa
175000000,4917,217933,Santiago,RíoTrancura,3,3.0,94.0,191.0,4.0,11840169,
150000000,4215,186800,QuintaNormal,NuevaImperial,2,1.0,96.0,247.0,1.0,11933894,Cgs Corretaje Inmobiliario Spa
160000000,4496,199253,SanBernardo,AltoJahuel,3,2.0,91.0,268.0,2.0,11915330,Legales y Propiedades SpA
75000000,2107,93400,PuenteAlto,TocornalExPedroDuarte,3,1.0,,87.0,1.0,6775287,Legales y Propiedades SpA
85000000,2388,105853,PuenteAlto,Maullín,5,2.0,,105.0,1.0,6776151,Legales y Propiedades SpA
75000000,2107,93400,LaPintana,VioletaParra,3,1.0,62.0,88.0,1.0,9449460,Legales y Propiedades SpA
75000000,2107,93400,LaPintana,PoetaRamóndelValle,3,2.0,90.0,80.0,1.0,9630711,Legales y Propiedades SpA
290000000,8148,361146,PuenteAlto,Noruega/Eyzaguirre,5,3.0,,286.0,2.0,8298437,Legales y Propiedades SpA
160000000,4496,199253,PuenteAlto,Colombia,5,2.0,165.0,315.0,1.0,9881681,Legales y Propiedades SpA
302728540,8506,376997,PuenteAlto,LaParroquia,2,1.0,83.0,1000.0,4.0,10930652,Legales y Propiedades SpA
225000000,6322,280199,Santiago,FranciscoPizarro2041,7,2.0,,572.0,,11903993,
140000000,3934,174346,Renca,Montevideo,5,3.0,,120.0,2.0,11903216,
266925000,7500,332410,QuintaNormal,TadeoVargas,4,3.0,198.0,354.0,1.0,11588945,
180000000,5058,224159,Santiago,Vichuquén,3,2.0,79.0,114.0,,11791851,Corredora Fuentes Propiedades
120000000,3372,149440,Santiago,LebuOriente,4,1.0,131.0,138.0,2.0,11841421,
239000000,6715,297634,Santiago,Avenida10deJulioHuamachuco,5,4.0,250.0,190.0,1.0,7756750,Todo Propiedades
444519100,12490,553573,Huechuraba,SantaMartadeHuechuraba,5,5.0,156.0,530.0,4.0,11831081,Giordano Propiedades
125000000,3512,155666,Maipú,DaríoPobleteNúñez,3,2.0,80.0,100.0,2.0,11607101,dalet propiedades
65129700,1830,81108,SanBernardo,Sta.Ines3481,3,1.0,52.0,75.0,1.0,11824596,Rodrigo Cañas de la Cerda Propiedades
115000000,3231,143213,Maipú,Aracari389,3,1.0,76.0,120.0,2.0,11786572,Silvana Guillen Propiedades
261586500,7350,325762,SanMiguel,BartoloSoto,3,3.0,113.0,130.0,1.0,7971519,Good Property
266569100,7490,331967,Ñuñoa,Av.JoséPedroAlessandri1625,4,3.0,109.0,119.0,1.0,7971620,Good Property
160000000,4496,199253,LaFlorida,LosGeranios70,3,1.0,84.0,200.0,2.0,11013162,
160155000,4500,199446,Lampa,Lamontañasur,3,2.0,88.0,158.0,3.0,11788723,Peralta Propiedades SpA
259807000,7300,323545,SanMiguel,QuintaAvenida,5,2.0,200.0,300.0,3.0,11750010,Giordano Propiedades
115000000,3231,143213,LaGranja,VillalosPensamientos,3,2.0,61.0,163.0,2.0,9694714,
282940500,7950,352354,Pudahuel,AvenidaLasFlores,3,3.0,145.0,454.0,2.0,6059114,Tzanis Propiedades
140580500,3950,175069,Maipú,PasajeSantaNidia,4,3.0,160.0,162.0,2.0,10500128,Gesinprop Gestión Inmobiliaria
121000000,3400,150685,Maipú,Ptovelero,3,2.0,100.0,136.0,1.0,10733354,Gesinprop Gestión Inmobiliaria
139000000,3906,173101,Maipú,Lastorres,5,2.0,127.0,112.0,2.0,10571335,alejandra escanilla garrido
91000000,2557,113325,Maipú,Elsurazo,3,1.0,55.0,100.0,1.0,11630172,alejandra escanilla garrido
190406500,5350,237119,Independencia,PasajeLeonorCepeda,5,2.0,120.0,240.0,,9679579,Hudson Propiedades
140580500,3950,175069,Buin,ComercianteArmandoPérezCarrasco165,4,2.0,101.0,168.0,2.0,10221099,Ambiento Propiedades
333834200,9380,415734,Pudahuel,losrododendrosponiente,4,3.0,160.0,400.0,2.0,10370614,Tzanis Propiedades
252689000,7100,314681,Peñalolén,QuebradadeMacul,4,3.0,112.0,196.0,2.0,9462617,
85000000,2388,105853,Talagante,VillaEsperanza,2,2.0,80.0,138.0,1.0,9225401,
85000000,2388,105853,LaFlorida,LaFlorida,2,1.0,65.0,85.0,1.0,6425368,Difusion Propiedades
184356200,5180,229584,Quilicura,PasajeSantaMagdalenaQuilicur,3,2.0,90.0,149.0,2.0,9743065,Behouse
238453000,6700,296953,Pudahuel,LaEsperanza,3,3.0,110.0,190.0,1.0,7146910,Tzanis Propiedades
309633000,8700,385595,Pudahuel,LosAlmendros,5,3.0,165.0,400.0,2.0,7016500,Tzanis Propiedades
190406500,5350,237119,Maipú,CondominioLasCatalpas2,4,4.0,130.0,130.0,1.0,6992761,Tzanis Propiedades
347002500,9750,432133,Pudahuel,Efeso,4,3.0,140.0,550.0,2.0,8201406,Tzanis Propiedades
291838000,8200,363435,Pudahuel,CerrodeloAguirre,3,3.0,130.0,300.0,3.0,10653655,Tzanis Propiedades
293617500,8250,365651,Pudahuel,LosAbedules,3,3.0,125.0,850.0,2.0,9951428,Tzanis Propiedades
297176500,8350,370083,Pudahuel,Callenuevaunosur,4,3.0,120.0,420.0,2.0,9644944,Tzanis Propiedades
241656100,6790,300942,Pudahuel,EsterodelCobre,3,3.0,130.0,170.0,1.0,10930337,Tzanis Propiedades
